history_mode,decision_id,phase,pair_id,gt_label,pred_label,fired,judger_raw,guidance,gt_answer,latency_wall_s
gold,d01,protocol,,interrupt,silent,False,$silent$,,"$interrupt$After sanitizing your hands, take the cell flask from the incubator.",4.328644095920026
gold,d02,protocol,,silent,interrupt,True,$interrupt$,Disinfect the exterior of the cell flask using a disinfectant spray and allow it to sit for a moment before placing it in the biosafety cabinet. Ensure the UV light is off and the sash is at the recommended working height.,$silent$,4.181705241091549
gold,d03,error,uv_on,interrupt,interrupt,True,$interrupt$,Disinfect the exterior of the cell flask and place it in the biosafety cabinet. Ensure the UV light is off and the sash is at the recommended working height.,$interrupt$Stop—do not open or use the biosafety cabinet while the UV light is on. Turn off the UV light before proceeding.,3.225091813132167
gold,d04,recovery,uv_on,silent,interrupt,True,$interrupt$,"Disinfect the exterior of the cell flask using the spray bottle, ensuring thorough coverage.",$silent$,3.4039298249408603
gold,d05,error,no_gloves,interrupt,interrupt,True,$interrupt$,Turn off the UV light on the biosafety cabinet before proceeding.,$interrupt$Do not reach into the sterile cabinet with bare hands. Put on gloves and disinfect them with alcohol before continuing.,3.0742214089259505
gold,d06,recovery,no_gloves,silent,interrupt,True,$interrupt$,Sanitize the exterior of the cell flask using 70% ethanol before placing it in the biosafety cabinet. Ensure the UV light is off and the sash is at the recommended working height.,$silent$,4.165807601064444
gold,d07,error,hood_height,interrupt,interrupt,True,$interrupt$,"Sanitize the exterior of the cell flask using a disinfectant spray or wipe, ensuring thorough coverage before placing it inside the biosafety cabinet.","$interrupt$The cabinet sash is raised too high, which may compromise aseptic conditions. Lower it to the recommended working height before continuing.",3.4180602906271815
gold,d08,recovery,hood_height,silent,interrupt,True,$interrupt$,Sanitize the exterior of the cell flask using a disinfectant solution before placing it in the biosafety cabinet.,$silent$,2.9411436868831515
gold,d09,protocol,,interrupt,interrupt,True,$interrupt$,"Gently rock or tap the flask to distribute the trypsin evenly, avoiding vigorous shaking.","$interrupt$Now add PBS to rinse the cells, then discard the rinse.",4.042620348744094
gold,d10,error,flask_dry,interrupt,interrupt,True,$interrupt$,Add the equivalent of 2 volumes of complete growth medium to neutralize trypsin. Gently pipette to disperse the cells.,$interrupt$Do not leave the flask dry and exposed. Add PBS immediately to rinse the cells.,3.4572561820968986
gold,d11,recovery,flask_dry,silent,interrupt,True,$interrupt$,Add the equivalent of 2 volumes of complete growth medium to neutralize trypsin. Gently pipette to disperse the cells.,$silent$,3.543799684382975
gold,d12,protocol,,interrupt,interrupt,True,$interrupt$,Add the equivalent of 2 volumes of complete growth medium to neutralize trypsin. Gently pipette to disperse the cells.,$interrupt$Add trypsin to cover the cell layer.,4.231211778707802
gold,d13,protocol,,silent,interrupt,True,$interrupt$,"Transfer the appropriate volume of the cell suspension to a new flask, add fresh culture medium, and label the new flask. Return it to the incubator.",$silent$,3.8621761221438646
gold,d14,error,vigorous_shake,interrupt,interrupt,True,$interrupt$,"Gently pipette the cell suspension to disperse the cells evenly, ensuring they are well mixed.",$interrupt$Avoid vigorous shaking. Gently rock or tap the flask so the trypsin is distributed evenly.,3.2089123502373695
gold,d15,recovery,vigorous_shake,silent,interrupt,True,$interrupt$,"Disinfect the exterior of the cell flask using the spray bottle, ensuring thorough coverage.",$silent$,3.3798005040735006
gold,d16,protocol,,interrupt,interrupt,True,$interrupt$,"Gently pipette the cell suspension to disperse the cells, ensuring they are well mixed.",$interrupt$Place the disinfected flask in the incubator and allow the trypsin to act for 2 minutes.,3.552720100618899
gold,d17,protocol,,silent,interrupt,True,$interrupt$,Remove the flask from the incubator and place it back inside after disinfecting its exterior.,$silent$,4.201387472450733
