variant,id,gt_type,pred_type,type_correct,manual_guidance_grade,manual_note,reference_guidance,model_message
official_raw_reprojection,d01,assistant,ASSISTANT,True,correct,Gives the flask-removal next step; adds later cabinet prerequisites.,"After sanitizing your hands, take the cell flask from the incubator.","The next step is to take the cell flask from the incubator, disinfect its exterior, and place it in the biosafety cabinet. Ensure the UV light is off, the sash is at the recommended working height, and your hands are gloved and disinfected for cabinet work."
official_clean_full_16,d01,assistant,ASSISTANT,True,partial,Includes flask removal but repeats the just-completed sanitization.,"After sanitizing your hands, take the cell flask from the incubator.",Please proceed to sanitize your hands thoroughly before taking the cell flask from the incubator. Ensure your hands are properly disinfected as per the protocol.
official_raw_reprojection,d03,safety,SAFETY,True,correct,Turns UV off before opening the cabinet.,Stop—do not open or use the biosafety cabinet while the UV light is on. Turn off the UV light before proceeding.,The UV light is currently on. Please turn it off before opening the biosafety cabinet to avoid potential hazards.
official_clean_full_16,d03,safety,SAFETY,True,correct,Turns UV off before opening the cabinet.,Stop—do not open or use the biosafety cabinet while the UV light is on. Turn off the UV light before proceeding.,The UV light is still on. Please ensure the UV light is turned off before opening the biosafety cabinet to avoid exposure to harmful UV radiation.
official_raw_reprojection,d05,safety,SAFETY,True,partial,Requires gloves but omits disinfecting them with alcohol.,Do not reach into the sterile cabinet with bare hands. Put on gloves and disinfect them with alcohol before continuing.,Please ensure you are wearing gloves before reaching into the biosafety cabinet to maintain sterility and safety.
official_clean_full_16,d05,safety,SAFETY,True,partial,Requires gloves but omits disinfecting them with alcohol.,Do not reach into the sterile cabinet with bare hands. Put on gloves and disinfect them with alcohol before continuing.,Please ensure that you are wearing gloves before reaching into the sterile cabinet to maintain sterility and prevent contamination.
official_raw_reprojection,d07,action_error,ACTION_ERROR,True,correct,Lowers the sash to the recommended height.,"The cabinet sash is raised too high, which may compromise aseptic conditions. Lower it to the recommended working height before continuing.","The cabinet sash appears to be raised too high, which violates the protocol. Lower the sash to the recommended working height to maintain proper containment and safety."
official_clean_full_16,d07,action_error,ACTION_ERROR,True,correct,Lowers the sash to the recommended height.,"The cabinet sash is raised too high, which may compromise aseptic conditions. Lower it to the recommended working height before continuing.","The cabinet sash appears to be raised too high, which violates the protocol. Lower the sash to the recommended working height to ensure proper containment and safety during cell passaging."
official_raw_reprojection,d09,assistant,ACTION_ERROR,False,partial,Adds the PBS rinse but omits discarding the rinse; TYPE is wrong.,"Now add PBS to rinse the cells, then discard the rinse.","The protocol specifies that after removing the spent medium, you should promptly rinse the cells with PBS. It appears that the PBS bottle is present but has not been used yet. Please proceed by rinsing the cells with PBS as per the protocol."
official_clean_full_16,d09,assistant,ACTION_ERROR,False,wrong,Repeats spent-medium removal instead of adding and discarding PBS.,"Now add PBS to rinse the cells, then discard the rinse.","The current task is Step 6, which involves removing the spent culture medium. However, the image shows that the cell flask has not been placed in the biosafety cabinet yet, and there is no visible action being taken to remove the medium. Please ensure the cell flask is in the biosafety cabinet and proceed with aspirating the spent medium carefully."
official_raw_reprojection,d10,action_error,ACTION_ERROR,True,correct,Immediately adds PBS to a dry flask.,Do not leave the flask dry and exposed. Add PBS immediately to rinse the cells.,The flask appears to have been left dry after removing the culture medium. Please promptly rinse the cells with PBS and discard the PBS to maintain cell viability.
official_clean_full_16,d10,action_error,ACTION_ERROR,True,correct,Immediately adds PBS to a dry flask.,Do not leave the flask dry and exposed. Add PBS immediately to rinse the cells.,The flask appears to be dry after removing the medium. Please add PBS to rinse the cells and discard the PBS promptly to maintain cell viability.
official_raw_reprojection,d12,assistant,ACTION_ERROR,False,wrong,Repeats PBS rinse instead of adding trypsin.,Add trypsin to cover the cell layer.,"The user has not yet added PBS to rinse the cells. According to the protocol, you should add PBS to rinse the cells after removing the spent medium, and then discard the PBS. Please proceed by adding PBS now."
official_clean_full_16,d12,assistant,ACTION_ERROR,False,wrong,Repeats PBS disposal instead of adding trypsin.,Add trypsin to cover the cell layer.,"The person appears to be holding a pipette with red liquid, but the current step requires discarding the PBS rinse. Ensure that the PBS is discarded properly before proceeding to the next step."
official_raw_reprojection,d14,action_error,ACTION_ERROR,True,partial,Stops vigorous motion but does not clearly say rock/tap to distribute trypsin.,Avoid vigorous shaking. Gently rock or tap the flask so the trypsin is distributed evenly.,"The person appears to be tilting the flask excessively, which could lead to vigorous shaking. Please handle the flask gently to avoid disturbing the cells unnecessarily."
official_clean_full_16,d14,action_error,NONE,False,partial,"Message corrects shaking, but malformed output is parsed as TYPE NONE.",Avoid vigorous shaking. Gently rock or tap the flask so the trypsin is distributed evenly.,"** The flask appears to be empty, and there is no visible liquid inside. Ensure that you have added trypsin to the flask as per the protocol. Avoid vigorous shaking and gently rock the flask to distribute the trypsin evenly."
