id,phase,pair_id,gt_type,gt_reason,fired,judger_reason,judger_raw,pred_type,message,always_type,always_message,n_frames_in,n_frames_kept
d01,protocol,,assistant,next_step,False,,NO.,NONE,,ACTION_ERROR,The person appears to be preparing to take a cell flask from the incubator but has not yet sanitized their hands as required by the protocol. This step is crucial before handling any cell cultures.,16,3
d02,protocol,,none,none,False,,NO.,NONE,,NONE,The individual appears to be following the correct procedure by retrieving the cell flask from the incubator and preparing to work within the biosafety cabinet. No immediate issues are observed.,16,5
d03,error,uv_on,safety,safety,True,safety,YES. reason=safety,SAFETY,"The UV light appears to be on, which is unsafe for working inside the biosafety cabinet. Ensure the UV light is turned off before proceeding.",NONE,"The current setup appears to be ready for cell passaging, with all necessary materials and equipment visible. Ensure that the UV light is off, the sash is at the correct height, and hands are properly gloved and disinfected before proceeding.",16,1
d04,recovery,uv_on,none,none,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be spraying a container, which may not align with the current step in the cell passaging protocol. Ensure that the action being performed corresponds to the correct step, such as disinfecting the exterior of the cell flask before placing it in the biosafety cabinet.",16,3
d05,error,no_gloves,safety,safety,False,,NO.,NONE,,NONE,"The current scene does not show any active steps being performed, so there is nothing to report against the protocol at this moment.",16,1
d06,recovery,no_gloves,none,none,False,,NO.,NONE,,NONE,"The current scene shows a person wearing gloves and working in a biosafety cabinet, which aligns with the initial steps of the protocol. No specific actions conflicting with the protocol are visible at this moment.",16,2
d07,error,hood_height,action_error,action_error,False,,NO.,NONE,,NONE,"The current setup appears ready for cell passaging, but no actions are being performed yet. Ensure all safety measures and protocol steps are followed as outlined.",16,1
d08,recovery,hood_height,none,none,False,,NO.,NONE,,NONE,"The current scene does not show any active steps of the cell passaging protocol, so there is nothing to report at this moment.",16,1
d09,protocol,,assistant,next_step,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be handling materials without following the proper sequence outlined in the protocol, such as sanitizing hands or disinfecting the flask before placing it in the biosafety cabinet. Ensure all steps are followed in order to maintain sterility and safety.",16,1
d10,error,flask_dry,action_error,action_error,False,,NO.,NONE,,NONE,"The current activity appears to align with standard laboratory practices, but without further context on the specific step being performed, no immediate action or warning is required.",16,1
d11,recovery,flask_dry,none,none,False,,NO.,NONE,,ACTION_ERROR,"The individual appears to be handling a cell flask without visible signs of disinfection or adherence to the protocol steps, such as removing spent medium or adding trypsin. Ensure all protocol steps are followed sequentially for safe and effective cell passaging.",16,1
d12,protocol,,assistant,next_step,False,,NO.,NONE,,ACTION_ERROR,The person appears to be handling the cell flask without following the protocol step-by-step. They should have removed the spent medium before proceeding to the next steps. Ensure that the spent medium is discarded and the cells are rinsed with PBS as per the protocol.,16,1
d13,protocol,,none,none,False,,NO.,NONE,,ACTION_ERROR,"The individual appears to be adding liquid to the cell flask without following the correct sequence as per the protocol. According to step 3, trypsin should be added first, followed by incubation before any medium is added. Please ensure that trypsin is added and incubated before proceeding with the addition of growth medium.",16,1
d14,error,vigorous_shake,action_error,action_error,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be handling a container without visible signs of following the initial steps of the protocol, such as sanitizing hands, disinfecting the exterior of the flask, or placing it in the biosafety cabinet. Ensure all preliminary steps are completed before proceeding.",16,1
d15,recovery,vigorous_shake,none,none,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be holding a pipette and a container, but there is no visible indication that they have followed the initial steps of the protocol, such as sanitizing hands, disinfecting the flask, or placing it in the biosafety cabinet. Ensure all preliminary steps are completed before proceeding.",16,1
d16,protocol,,assistant,next_step,False,,NO.,NONE,,ACTION_ERROR,"The user appears to be preparing to disinfect the cell flask before placing it in the biosafety cabinet, but they have not yet taken the flask out of the incubator as per step 1 of the protocol. They should retrieve the flask from the incubator first.",16,3
d17,protocol,,none,none,False,,NO.,NONE,,NONE,"The person appears to be following the correct procedure by taking the cell flask out of the incubator, which aligns with step 1 of the protocol. No immediate issues detected.",16,8
d18,protocol,,assistant,next_step,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be handling a container that may contain cells without visible signs of following the protocol steps, such as adding trypsin or neutralizing it with growth medium. Ensure all protocol steps are followed sequentially for safe and effective cell passaging.",16,1
d19,error,over_trypsin,action_error,action_error,False,,NO.,NONE,,NONE,"The person appears to be opening an incubator, which aligns with the initial step of the protocol. No immediate issues detected.",16,3
d20,recovery,over_trypsin,none,none,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be transferring liquid without following the proper sequence outlined in the protocol. According to step 4, trypsin should be neutralized with an equivalent volume of complete growth medium before dispersing the cells. Ensure that trypsin has been neutralized before proceeding with the transfer.",16,1
d21,protocol,,assistant,next_step,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be holding a multi-well plate rather than a cell flask, which does not align with the current step in the cell passaging protocol. Please ensure you are following the correct sequence and using the appropriate equipment.",16,1
d22,protocol,,none,none,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be holding a pipette and interacting with a cell flask, but there is no visible indication that they have followed the protocol steps such as sanitizing hands, disinfecting the flask, or adding trypsin. Ensure all prior steps in the protocol are completed before proceeding.",16,3
d23,protocol,,assistant,next_step,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be adding trypsin to the cell flask without first removing the spent medium, which conflicts with step 2 of the protocol. According to the protocol, the spent medium should be removed before adding trypsin.",16,4
d24,protocol,,assistant,next_step,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be transferring liquid into a container without following the proper sequence outlined in the protocol. According to step 4, trypsin should be neutralized with an equivalent volume of complete growth medium before any transfer occurs. Ensure that trypsin is neutralized before proceeding with the transfer.",16,4
d25,protocol,,none,none,False,,NO.,NONE,,ACTION_ERROR,"The person appears to be taking a cell flask out of the incubator without disinfecting its exterior, which is a step required by the protocol before placing it in the biosafety cabinet.",16,4
